ID outcome
id1 0.4056314684
id2 -0.7938889637
id3 1.291416007
id4 -0.241405327
id5 -0.1028663478
id6 0.1577496992
id7 0.5924636053
id8 0.6390714872
id9 0.8211867387
id10 0.0728134477
id11 0.7079749366
id12 -0.0159528664
id13 -0.1830262429
id14 -0.4876966641
id15 -1.2202766493
id16 0.2828271748
id17 -0.2868470231
id18 -0.2579488911
id19 -0.6774368254
id20 0.7360718749
id21 0.3592691209
id22 0.816873203
id23 -0.0079522758
id24 0.0372294117
id25 -0.5876712499
id26 0.2838589116
id27 -0.6053553416
id28 -1.2054969853
id29 0.2433656226
id30 0.1574343858
id31 -0.2184754899
id32 -0.4305646402
id33 0.5610684613
id34 0.1771909073
id35 0.7098451211
id36 -0.8313384726
id37 1.2454182731
id38 0.7479619766
id39 -0.5492737338
id40 -1.1436021303
id41 0.2770022173
id42 0.1331933654
id43 1.6301925204
id44 -0.0069418094
id45 1.449816635
id46 1.4909478566
id47 -0.9627961105
id48 -0.1187139305
id49 -0.0231125695
id50 -1.178037769
id51 -0.2150271956
id52 0.5520828464
id53 -0.5707112823
id54 -0.000598167
id55 0.0196553253
id56 -0.6764419863
id57 0.1255652401
id58 -0.4599624443
id59 0.5700865267
id60 1.1872888916
id61 0.3414523786
id62 0.8155030256
id63 0.1138092189
id64 0.3518059698
id65 -0.3996677578
id66 -0.7771510123
id67 1.2782886623
id68 0.7451020169
id69 -0.1723629954
id70 -0.2501937855
id71 0.5017648713
id72 0.3066248493
id73 0.1454905415
id74 -0.1238492522
id75 0.0304202331
id76 -0.6466709416
id77 0.0174327168
id78 -0.1557173488
id79 -1.2546082261
id80 0.1256674783
id81 -0.4468491864
id82 -0.4707994248
id83 -0.0263485549
id84 -0.9953059215
id85 0.3092762038
id86 0.4199165907
id87 0.0355249568
id88 0.970533308
id89 -0.7655622556
id90 -1.0388779484
id91 0.4814398381
id92 0.0387228589
id93 0.093945879
id94 0.5830984195
id95 -0.0535040572
id96 -0.2661488649
id97 -1.7568686988
id98 -0.0520363043
id99 0.6150030145
id100 0.1135693909
id101 -0.4139211106
id102 -0.3439799769
id103 -0.1777454705
id104 -0.2958652088
id105 0.2682533354
id106 -1.6556380297
id107 -0.1926784315
id108 -0.1381701218
id109 -0.5107093721
id110 -0.2157588522
id111 -0.2439353157
id112 0.1914044636
id113 0.1394419945
id114 -0.4957260554
id115 0.3489292388
id116 1.0418511722
id117 -0.2733695319
id118 0.6151702784
id119 0.3122154659
id120 0.4162455227
id121 -0.7551533646
id122 -0.2083557312
id123 -0.1780119438
id124 0.5609775148
id125 -0.1840779854
id126 -0.6114817529
id127 -0.1789875455
id128 0.6755386525
id129 -1.1375165048
id130 -0.3539004733
id131 0.9760919156
id132 -0.2379847979
id133 -0.8519320606
id134 -0.3895255302
id135 0.2405594076
id136 -0.2210752852
id137 -0.4476062234
id138 0.574175149
id139 0.4501148862
id140 -0.4083183698
id141 -0.5915966126
id142 -0.4900555942
id143 0.5047823666
id144 0.7929539616
id145 -0.7737498065
id146 -0.0474523153
id147 0.4215061675
id148 -0.7414201136
id149 -1.2003101892
id150 1.3811509984
id151 -0.3239859425
